,Month,Attrition Count,YTD Expenses,Demand Count,Avl.Bench(Skill),Allocated Bench,Prop. New Hire,Prop. EOY Expense,Unmet Demand,Adj. New Hire,Adj. EOY Expenses,YTD Opportunity Cost,Total Bench HeadCount,Total Billable HeadCount,Total HeadCount
23,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9468,9838
24,January,182,542520,2,0,0,2,3330470,0,2,3330470,0,370,9470,9840
25,January,182,542520,2,0,0,2,3330470,0,2,3330470,0,370,9472,9842
26,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9473,9843
27,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9474,9844
28,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9475,9845
29,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9476,9846
30,January,182,542520,3,0,0,3,3330470,0,3,3330470,0,370,9479,9849
31,January,182,542520,2,0,0,2,3330470,0,2,3330470,0,370,9481,9851
32,January,182,542520,1,1,1,0,3322935,0,0,3322935,0,369,9482,9851
33,January,182,542520,2,0,0,2,3322935,0,2,3322935,0,369,9484,9853
34,January,182,542520,1,0,0,1,3322935,0,1,3322935,0,369,9485,9854
35,January,182,542520,1,0,0,1,3322935,0,1,3322935,0,369,9486,9855
36,January,182,542520,4,4,4,0,3292795,0,0,3292795,0,365,9490,9855
37,January,182,542520,1,0,0,1,3292795,0,1,3292795,0,365,9491,9856
38,January,182,542520,2,7,2,0,3277725,0,0,3277725,0,363,9493,9856
39,January,182,542520,1,5,1,0,3270190,0,0,3270190,0,362,9494,9856
40,January,182,542520,3,4,3,0,3247585,0,0,3247585,0,359,9497,9856
41,January,182,542520,1,1,1,0,3240050,0,0,3240050,0,358,9498,9856
42,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9499,9857
43,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9500,9858
44,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9501,9859
45,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9502,9860
46,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9503,9861
47,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9504,9862
48,January,182,542520,1,0,0,1,3240050,0,1,3240050,0,358,9505,9863
49,January,182,542520,3,1,1,2,3232515,0,2,3232515,0,357,9508,9865
50,January,182,542520,1,0,0,1,3232515,0,1,3232515,0,357,9509,9866
51,January,182,542520,2,3,2,0,3217445,0,0,3217445,0,355,9511,9866
52,January,182,542520,1,1,1,0,3209910,0,0,3209910,0,354,9512,9866
53,January,182,542520,1,1,1,0,3202375,0,0,3202375,0,353,9513,9866
54,January,182,542520,1,0,0,1,3202375,0,1,3202375,0,353,9514,9867
55,January,182,542520,3,2,2,1,3187305,0,1,3187305,0,351,9517,9868
56,January,182,542520,1,0,0,1,3187305,0,1,3187305,0,351,9518,9869
57,January,182,542520,1,0,0,1,3187305,0,1,3187305,0,351,9519,9870
58,January,182,542520,1,0,0,1,3187305,0,1,3187305,0,351,9520,9871
59,January,182,542520,4,2,2,2,3172235,0,2,3172235,0,349,9524,9873
60,January,182,542520,3,0,0,3,3172235,0,3,3172235,0,349,9527,9876
61,January,182,542520,3,0,0,3,3172235,0,3,3172235,0,349,9530,9879
62,January,182,542520,1,0,0,1,3172235,0,1,3172235,0,349,9531,9880
63,January,182,542520,1,0,0,1,3172235,0,1,3172235,0,349,9532,9881
64,January,182,542520,1,0,0,1,3172235,0,1,3172235,0,349,9533,9882
65,January,182,542520,1,0,0,1,3172235,0,1,3172235,0,349,9534,9883
66,January,182,542520,1,1,1,0,3164700,0,0,3164700,0,348,9535,9883
67,January,182,542520,1,0,0,1,3164700,0,1,3164700,0,348,9536,9884
68,January,182,542520,1,0,0,1,3164700,0,1,3164700,0,348,9537,9885
69,January,182,542520,4,1,1,3,3157165,0,3,3157165,0,347,9541,9888
70,January,182,542520,3,0,0,3,3157165,0,3,3157165,0,347,9544,9891
71,January,182,542520,1,0,0,1,3157165,0,1,3157165,0,347,9545,9892
72,January,182,542520,1,0,0,1,3157165,0,1,3157165,0,347,9546,9893
73,January,182,542520,1,0,0,1,3157165,0,1,3157165,0,347,9547,9894
74,January,182,542520,4,1,1,3,3149630,0,3,3149630,0,346,9551,9897
75,January,182,542520,3,0,0,3,3149630,0,3,3149630,0,346,9554,9900
76,January,182,542520,1,0,0,1,3149630,0,1,3149630,0,346,9555,9901
77,January,182,542520,1,1,1,0,3142095,0,0,3142095,0,345,9556,9901
78,January,182,542520,1,0,0,1,3142095,0,1,3142095,0,345,9557,9902
79,January,182,542520,4,0,0,4,3142095,0,4,3142095,0,345,9561,9906
80,January,182,542520,1,0,0,1,3142095,0,1,3142095,0,345,9562,9907
81,January,182,542520,2,0,0,2,3142095,0,2,3142095,0,345,9564,9909
82,January,182,542520,1,0,0,1,3142095,0,1,3142095,0,345,9565,9910
83,January,182,542520,1,0,0,1,3142095,0,1,3142095,0,345,9566,9911
84,January,182,542520,1,0,0,1,3142095,0,1,3142095,0,345,9567,9912
85,January,182,542520,1,0,0,1,3142095,0,1,3142095,0,345,9568,9913
86,January,182,542520,1,2,1,0,3134560,0,0,3134560,0,344,9569,9913
87,January,182,542520,1,8,1,0,3127025,0,0,3127025,0,343,9570,9913
88,January,182,542520,1,7,1,0,3119490,0,0,3119490,0,342,9571,9913
89,January,182,542520,1,0,0,1,3119490,0,1,3119490,0,342,9572,9914
90,January,182,542520,1,12,1,0,3111955,0,0,3111955,0,341,9573,9914
91,January,182,542520,1,11,1,0,3104420,0,0,3104420,0,340,9574,9914
92,January,182,542520,1,10,1,0,3096885,0,0,3096885,0,339,9575,9914
93,January,182,542520,1,9,1,0,3089350,0,0,3089350,0,338,9576,9914
94,January,182,542520,1,8,1,0,3081815,0,0,3081815,0,337,9577,9914
95,January,182,542520,1,7,1,0,3074280,0,0,3074280,0,336,9578,9914
96,January,182,542520,1,6,1,0,3066745,0,0,3066745,0,335,9579,9914
97,January,182,542520,1,2,1,0,3059210,0,0,3059210,0,334,9580,9914
98,January,182,542520,1,1,1,0,3051675,0,0,3051675,0,333,9581,9914
99,January,182,542520,1,0,0,1,3051675,0,1,3051675,0,333,9582,9915
100,January,182,542520,1,0,0,1,3051675,0,1,3051675,0,333,9583,9916
101,January,182,542520,1,2,1,0,3044140,0,0,3044140,0,332,9584,9916
102,January,182,542520,1,5,1,0,3036605,0,0,3036605,0,331,9585,9916
103,January,182,542520,1,4,1,0,3029070,0,0,3029070,0,330,9586,9916
104,January,182,542520,1,2,1,0,3021535,0,0,3021535,0,329,9587,9916
105,January,182,542520,4,1,1,3,3014000,0,3,3014000,0,328,9591,9919
106,January,182,542520,1,0,0,1,3014000,0,1,3014000,0,328,9592,9920
107,January,182,542520,1,0,0,1,3014000,0,1,3014000,0,328,9593,9921
108,January,182,542520,1,0,0,1,3014000,0,1,3014000,0,328,9594,9922
109,January,182,542520,1,0,0,1,3014000,0,1,3014000,0,328,9595,9923
110,January,182,542520,1,0,0,1,3014000,0,1,3014000,0,328,9596,9924
111,January,182,542520,1,2,1,0,3006465,0,0,3006465,0,327,9597,9924
112,January,182,542520,1,1,1,0,2998930,0,0,2998930,0,326,9598,9924
113,January,182,542520,1,3,1,0,2991395,0,0,2991395,0,325,9599,9924
114,January,182,542520,1,1,1,0,2983860,0,0,2983860,0,324,9600,9924
115,January,182,542520,1,1,1,0,2976325,0,0,2976325,0,323,9601,9924
116,January,182,542520,1,0,0,1,2976325,0,1,2976325,0,323,9602,9925
117,January,182,542520,1,2,1,0,2968790,0,0,2968790,0,322,9603,9925
118,January,182,542520,1,1,1,0,2961255,0,0,2961255,0,321,9604,9925
119,January,182,542520,1,0,0,1,2961255,0,1,2961255,0,321,9605,9926
120,January,182,542520,1,1,1,0,2953720,0,0,2953720,0,320,9606,9926
121,January,182,542520,1,0,0,1,2953720,0,1,2953720,0,320,9607,9927
122,January,182,542520,1,8,1,0,2946185,0,0,2946185,0,319,9608,9927
123,January,182,542520,1,7,1,0,2938650,0,0,2938650,0,318,9609,9927
124,January,182,542520,1,6,1,0,2931115,0,0,2931115,0,317,9610,9927
125,January,182,542520,3,5,3,0,2908510,0,0,2908510,0,314,9613,9927
126,January,182,542520,3,2,2,1,2893440,0,1,2893440,0,312,9616,9928
127,January,182,542520,4,0,0,4,2893440,0,4,2893440,0,312,9620,9932
128,January,182,542520,4,0,0,4,2893440,0,4,2893440,0,312,9624,9936
129,January,182,542520,4,0,0,4,2893440,0,4,2893440,0,312,9628,9940
130,January,182,542520,1,0,0,1,2893440,0,1,2893440,0,312,9629,9941
131,January,182,542520,3,0,0,3,2893440,0,3,2893440,0,312,9632,9944
132,January,182,542520,1,0,0,1,2893440,0,1,2893440,0,312,9633,9945
133,January,182,542520,1,0,0,1,2893440,0,1,2893440,0,312,9634,9946
134,January,182,542520,1,0,0,1,2893440,0,1,2893440,0,312,9635,9947
135,January,182,542520,1,0,0,1,2893440,0,1,2893440,0,312,9636,9948
136,January,182,542520,1,0,0,1,2893440,0,1,2893440,0,312,9637,9949
137,January,182,542520,3,7,3,0,2870835,0,0,2870835,0,309,9640,9949
138,January,182,542520,2,4,2,0,2855765,0,0,2855765,0,307,9642,9949
139,January,182,542520,1,2,1,0,2848230,0,0,2848230,0,306,9643,9949
140,January,182,542520,1,1,1,0,2840695,0,0,2840695,0,305,9644,9949
141,January,182,542520,1,4,1,0,2833160,0,0,2833160,0,304,9645,9949
142,January,182,542520,1,3,1,0,2825625,0,0,2825625,0,303,9646,9949
143,January,182,542520,1,2,1,0,2818090,0,0,2818090,0,302,9647,9949
144,January,182,542520,1,1,1,0,2810555,0,0,2810555,0,301,9648,9949
145,January,182,542520,1,0,0,1,2810555,0,1,2810555,0,301,9649,9950
146,January,182,542520,1,0,0,1,2810555,0,1,2810555,0,301,9650,9951
147,January,182,542520,1,0,0,1,2810555,0,1,2810555,0,301,9651,9952
148,January,182,542520,1,0,0,1,2810555,0,1,2810555,0,301,9652,9953
149,January,182,542520,1,0,0,1,2810555,0,1,2810555,0,301,9653,9954
150,January,182,542520,2,1,1,1,2803020,0,1,2803020,0,300,9655,9955
151,January,182,542520,1,0,0,1,2803020,0,1,2803020,0,300,9656,9956
152,January,182,542520,1,1,1,0,2795485,0,0,2795485,0,299,9657,9956
153,January,182,542520,2,1,1,1,2787950,0,1,2787950,0,298,9659,9957
154,January,182,542520,2,0,0,2,2787950,0,2,2787950,0,298,9661,9959
155,January,182,542520,1,0,0,1,2787950,0,1,2787950,0,298,9662,9960
156,January,182,542520,3,0,0,3,2787950,0,3,2787950,0,298,9665,9963
157,January,182,542520,3,2,2,1,2772880,0,1,2772880,0,296,9668,9964
158,January,182,542520,4,0,0,4,2772880,0,4,2772880,0,296,9672,9968
159,January,182,542520,1,0,0,1,2772880,0,1,2772880,0,296,9673,9969
160,January,182,542520,1,11,1,0,2765345,0,0,2765345,0,295,9674,9969
161,January,182,542520,1,10,1,0,2757810,0,0,2757810,0,294,9675,9969
162,January,182,542520,1,9,1,0,2750275,0,0,2750275,0,293,9676,9969
163,January,182,542520,1,8,1,0,2742740,0,0,2742740,0,292,9677,9969
164,January,182,542520,1,7,1,0,2735205,0,0,2735205,0,291,9678,9969
165,January,182,542520,1,3,1,0,2727670,0,0,2727670,0,290,9679,9969
166,January,182,542520,1,2,1,0,2720135,0,0,2720135,0,289,9680,9969
167,January,182,542520,3,0,0,3,2720135,0,3,2720135,0,289,9683,9972
168,January,182,542520,1,0,0,1,2720135,0,1,2720135,0,289,9684,9973
169,January,182,542520,1,3,1,0,2712600,0,0,2712600,0,288,9685,9973
170,January,182,542520,1,2,1,0,2705065,0,0,2705065,0,287,9686,9973
171,January,182,542520,1,0,0,1,2705065,0,1,2705065,0,287,9687,9974
172,January,182,542520,1,0,0,1,2705065,0,1,2705065,0,287,9688,9975
173,January,182,542520,4,1,1,3,2697530,0,3,2697530,0,286,9692,9978
174,January,182,542520,1,0,0,1,2697530,0,1,2697530,0,286,9693,9979
175,January,182,542520,1,0,0,1,2697530,0,1,2697530,0,286,9694,9980
176,January,182,542520,1,0,0,1,2697530,0,1,2697530,0,286,9695,9981
177,January,182,542520,1,0,0,1,2697530,0,1,2697530,0,286,9696,9982
178,January,182,542520,1,1,1,0,2689995,0,0,2689995,0,285,9697,9982
179,January,182,542520,1,0,0,1,2689995,0,1,2689995,0,285,9698,9983
180,January,182,542520,2,0,0,2,2689995,0,2,2689995,0,285,9700,9985
181,January,182,542520,1,0,0,1,2689995,0,1,2689995,0,285,9701,9986
182,January,182,542520,3,0,0,3,2689995,0,3,2689995,0,285,9704,9989
183,January,182,542520,1,0,0,1,2689995,0,1,2689995,0,285,9705,9990
184,January,182,542520,1,0,0,1,2689995,0,1,2689995,0,285,9706,9991
185,January,182,542520,1,0,0,1,2689995,0,1,2689995,0,285,9707,9992
186,January,182,542520,1,1,1,0,2682460,0,0,2682460,0,284,9708,9992
187,January,182,542520,1,3,1,0,2674925,0,0,2674925,0,283,9709,9992
188,January,182,542520,2,0,0,2,2674925,0,2,2674925,0,283,9711,9994
189,January,182,542520,2,0,0,2,2674925,0,2,2674925,0,283,9713,9996
190,January,182,542520,1,1,1,0,2667390,0,0,2667390,0,282,9714,9996
191,January,182,542520,1,2,1,0,2659855,0,0,2659855,0,281,9715,9996
192,January,182,542520,1,0,0,1,2659855,0,1,2659855,0,281,9716,9997
193,January,182,542520,1,0,0,1,2659855,0,1,2659855,0,281,9717,9998
194,January,182,542520,1,0,0,1,2659855,0,1,2659855,0,281,9718,9999
195,January,182,542520,1,1,1,0,2652320,0,0,2652320,0,280,9719,9999
196,January,182,542520,1,0,0,1,2652320,0,1,2652320,0,280,9720,10000
197,January,182,542520,1,0,0,1,2652320,0,1,2652320,0,280,9721,10001
198,January,182,542520,1,0,0,1,2652320,0,1,2652320,0,280,9722,10002
199,January,182,542520,2,2,2,0,2637250,0,0,2637250,0,278,9724,10002
200,January,182,542520,1,0,0,1,2637250,0,1,2637250,0,278,9725,10003
201,January,182,542520,3,0,0,3,2637250,0,3,2637250,0,278,9728,10006
202,January,182,542520,1,0,0,1,2637250,0,1,2637250,0,278,9729,10007
203,January,182,542520,3,0,0,3,2637250,0,3,2637250,0,278,9732,10010
204,January,182,542520,1,0,0,1,2637250,0,1,2637250,0,278,9733,10011
205,January,182,542520,1,1,1,0,2629715,0,0,2629715,0,277,9734,10011
206,January,182,542520,1,0,0,1,2629715,0,1,2629715,0,277,9735,10012
207,January,182,542520,1,0,0,1,2629715,0,1,2629715,0,277,9736,10013
208,January,182,542520,1,2,1,0,2622180,0,0,2622180,0,276,9737,10013
209,January,182,542520,1,1,1,0,2614645,0,0,2614645,0,275,9738,10013
210,January,182,542520,1,9,1,0,2607110,0,0,2607110,0,274,9739,10013
211,January,182,542520,1,8,1,0,2599575,0,0,2599575,0,273,9740,10013
212,January,182,542520,1,7,1,0,2592040,0,0,2592040,0,272,9741,10013
213,January,182,542520,1,6,1,0,2584505,0,0,2584505,0,271,9742,10013
214,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9743,10014
215,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9744,10015
216,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9745,10016
217,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9746,10017
218,January,182,542520,4,0,0,4,2584505,0,4,2584505,0,271,9750,10021
219,January,182,542520,3,0,0,3,2584505,0,3,2584505,0,271,9753,10024
220,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9754,10025
221,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9755,10026
222,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9756,10027
223,January,182,542520,1,0,0,1,2584505,0,1,2584505,0,271,9757,10028
224,January,182,542520,1,1,1,0,2576970,0,0,2576970,0,270,9758,10028
225,January,182,542520,1,1,1,0,2569435,0,0,2569435,0,269,9759,10028
226,January,182,542520,1,4,1,0,2561900,0,0,2561900,0,268,9760,10028
227,January,182,542520,1,3,1,0,2554365,0,0,2554365,0,267,9761,10028
228,January,182,542520,4,2,2,2,2539295,0,2,2539295,0,265,9765,10030
229,January,182,542520,1,3,1,0,2531760,0,0,2531760,0,264,9766,10030
230,January,182,542520,4,1,1,3,2524225,0,3,2524225,0,263,9770,10033
231,January,182,542520,1,0,0,1,2524225,0,1,2524225,0,263,9771,10034
232,January,182,542520,1,1,1,0,2516690,0,0,2516690,0,262,9772,10034
233,January,182,542520,1,2,1,0,2509155,0,0,2509155,0,261,9773,10034
234,January,182,542520,1,1,1,0,2501620,0,0,2501620,0,260,9774,10034
235,January,182,542520,1,1,1,0,2494085,0,0,2494085,0,259,9775,10034
236,January,182,542520,1,3,1,0,2486550,0,0,2486550,0,258,9776,10034
237,January,182,542520,1,2,1,0,2479015,0,0,2479015,0,257,9777,10034
238,January,182,542520,2,1,1,1,2471480,0,1,2471480,0,256,9779,10035
239,January,182,542520,3,0,0,3,2471480,0,3,2471480,0,256,9782,10038
240,January,182,542520,1,0,0,1,2471480,0,1,2471480,0,256,9783,10039
241,January,182,542520,1,1,1,0,2463945,0,0,2463945,0,255,9784,10039
242,January,182,542520,1,3,1,0,2456410,0,0,2456410,0,254,9785,10039
243,January,182,542520,1,2,1,0,2448875,0,0,2448875,0,253,9786,10039
244,January,182,542520,1,1,1,0,2441340,0,0,2441340,0,252,9787,10039
245,January,182,542520,4,0,0,4,2441340,0,4,2441340,0,252,9791,10043
246,January,182,542520,3,0,0,3,2441340,0,3,2441340,0,252,9794,10046
247,January,182,542520,2,0,0,2,2441340,0,2,2441340,0,252,9796,10048
248,January,182,542520,4,0,0,4,2441340,0,4,2441340,0,252,9800,10052
249,January,182,542520,1,0,0,1,2441340,0,1,2441340,0,252,9801,10053
250,January,182,542520,3,0,0,3,2441340,0,3,2441340,0,252,9804,10056
251,January,182,542520,1,0,0,1,2441340,0,1,2441340,0,252,9805,10057
252,January,182,542520,1,0,0,1,2441340,0,1,2441340,0,252,9806,10058
253,January,182,542520,1,0,0,1,2441340,0,1,2441340,0,252,9807,10059
254,January,182,542520,1,0,0,1,2441340,0,1,2441340,0,252,9808,10060
255,January,182,542520,1,1,1,0,2433805,0,0,2433805,0,251,9809,10060
256,January,182,542520,1,9,1,0,2426270,0,0,2426270,0,250,9810,10060
257,January,182,542520,2,8,2,0,2411200,0,0,2411200,0,248,9812,10060
258,January,182,542520,1,6,1,0,2403665,0,0,2403665,0,247,9813,10060
259,January,182,542520,4,2,2,2,2388595,0,2,2388595,0,245,9817,10062
260,January,182,542520,1,0,0,1,2388595,0,1,2388595,0,245,9818,10063
261,January,182,542520,1,3,1,0,2381060,0,0,2381060,0,244,9819,10063
262,January,182,542520,1,2,1,0,2373525,0,0,2373525,0,243,9820,10063
263,January,182,542520,1,0,0,1,2373525,0,1,2373525,0,243,9821,10064
264,January,182,542520,1,3,1,0,2365990,0,0,2365990,0,242,9822,10064
265,January,182,542520,4,0,0,4,2365990,0,4,2365990,0,242,9826,10068
266,January,182,542520,1,0,0,1,2365990,0,1,2365990,0,242,9827,10069
267,January,182,542520,1,4,1,0,2358455,0,0,2358455,0,241,9828,10069
268,January,182,542520,1,0,0,1,2358455,0,1,2358455,0,241,9829,10070
269,January,182,542520,1,1,1,0,2350920,0,0,2350920,0,240,9830,10070
270,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9831,10071
271,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9832,10072
272,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9833,10073
273,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9834,10074
274,January,182,542520,4,0,0,4,2350920,0,4,2350920,0,240,9838,10078
275,January,182,542520,3,0,0,3,2350920,0,3,2350920,0,240,9841,10081
276,January,182,542520,2,0,0,2,2350920,0,2,2350920,0,240,9843,10083
277,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9844,10084
278,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9845,10085
279,January,182,542520,3,0,0,3,2350920,0,3,2350920,0,240,9848,10088
280,January,182,542520,4,0,0,4,2350920,0,4,2350920,0,240,9852,10092
281,January,182,542520,2,0,0,2,2350920,0,2,2350920,0,240,9854,10094
282,January,182,542520,2,0,0,2,2350920,0,2,2350920,0,240,9856,10096
283,January,182,542520,1,0,0,1,2350920,0,1,2350920,0,240,9857,10097
284,January,182,542520,2,0,0,2,2350920,0,2,2350920,0,240,9859,10099
285,January,182,542520,3,0,0,3,2350920,0,3,2350920,0,240,9862,10102
286,January,182,542520,4,0,0,4,2350920,0,4,2350920,0,240,9866,10106
287,January,182,542520,2,0,0,2,2350920,0,2,2350920,0,240,9868,10108
288,January,182,542520,4,0,0,4,2350920,0,4,2350920,0,240,9872,10112
289,January,182,542520,2,0,0,2,2350920,0,2,2350920,0,240,9874,10114
290,January,182,542520,4,1,1,3,2343385,0,3,2343385,0,239,9878,10117
291,January,182,542520,2,0,0,2,2343385,0,2,2343385,0,239,9880,10119
292,January,182,542520,2,0,0,2,2343385,0,2,2343385,0,239,9882,10121
293,January,182,542520,3,0,0,3,2343385,0,3,2343385,0,239,9885,10124
294,January,182,542520,1,0,0,1,2343385,0,1,2343385,0,239,9886,10125
295,January,182,542520,3,1,1,2,2335850,0,2,2335850,0,238,9889,10127
296,January,182,542520,1,0,0,1,2335850,0,1,2335850,0,238,9890,10128
297,January,182,542520,1,6,1,0,2328315,0,0,2328315,0,237,9891,10128
298,January,182,542520,3,5,3,0,2305710,0,0,2305710,0,234,9894,10128
299,January,182,542520,3,2,2,1,2290640,0,1,2290640,0,232,9897,10129
300,January,182,542520,1,2,1,0,2283105,0,0,2283105,0,231,9898,10129
301,January,182,542520,4,1,1,3,2275570,0,3,2275570,0,230,9902,10132
302,January,182,542520,1,0,0,1,2275570,0,1,2275570,0,230,9903,10133
303,January,182,542520,4,0,0,4,2275570,0,4,2275570,0,230,9907,10137
304,January,182,542520,4,0,0,4,2275570,0,4,2275570,0,230,9911,10141
305,January,182,542520,1,2,1,0,2268035,0,0,2268035,0,229,9912,10141
306,January,182,542520,2,0,0,2,2268035,0,2,2268035,0,229,9914,10143
307,January,182,542520,3,0,0,3,2268035,0,3,2268035,0,229,9917,10146
308,January,182,542520,2,0,0,2,2268035,0,2,2268035,0,229,9919,10148
309,January,182,542520,3,0,0,3,2268035,0,3,2268035,0,229,9922,10151
310,January,182,542520,4,0,0,4,2268035,0,4,2268035,0,229,9926,10155
311,January,182,542520,2,0,0,2,2268035,0,2,2268035,0,229,9928,10157
312,January,182,542520,4,0,0,4,2268035,0,4,2268035,0,229,9932,10161
313,January,182,542520,3,0,0,3,2268035,0,3,2268035,0,229,9935,10164
314,January,182,542520,2,0,0,2,2268035,0,2,2268035,0,229,9937,10166
315,January,182,542520,2,3,2,0,2252965,0,0,2252965,0,227,9939,10166
316,January,182,542520,1,0,0,1,2252965,0,1,2252965,0,227,9940,10167
317,January,182,542520,2,0,0,2,2252965,0,2,2252965,0,227,9942,10169
318,January,182,542520,1,0,0,1,2252965,0,1,2252965,0,227,9943,10170
319,January,182,542520,2,0,0,2,2252965,0,2,2252965,0,227,9945,10172
320,January,182,542520,4,0,0,4,2252965,0,4,2252965,0,227,9949,10176
321,January,182,542520,2,0,0,2,2252965,0,2,2252965,0,227,9951,10178
322,January,182,542520,3,1,1,2,2245430,0,2,2245430,0,226,9954,10180
323,January,182,542520,1,0,0,1,2245430,0,1,2245430,0,226,9955,10181
324,January,182,542520,1,0,0,1,2245430,0,1,2245430,0,226,9956,10182
325,January,182,542520,3,0,0,3,2245430,0,3,2245430,0,226,9959,10185
326,January,182,542520,2,1,1,1,2237895,0,1,2237895,0,225,9961,10186
327,January,182,542520,2,0,0,2,2237895,0,2,2237895,0,225,9963,10188
328,January,182,542520,1,0,0,1,2237895,0,1,2237895,0,225,9964,10189
329,January,182,542520,4,0,0,4,2237895,0,4,2237895,0,225,9968,10193
330,January,182,542520,1,3,1,0,2230360,0,0,2230360,0,224,9969,10193
331,January,182,542520,4,3,3,1,2207755,0,1,2207755,0,221,9973,10194
332,January,182,542520,1,0,0,1,2207755,0,1,2207755,0,221,9974,10195
333,January,182,542520,1,2,1,0,2200220,0,0,2200220,0,220,9975,10195
334,January,182,542520,4,1,1,3,2192685,0,3,2192685,0,219,9979,10198
335,January,182,542520,2,0,0,2,2192685,0,2,2192685,0,219,9981,10200
336,January,182,542520,4,4,4,0,2162545,0,0,2162545,0,215,9985,10200
337,January,182,542520,2,0,0,2,2162545,0,2,2162545,0,215,9987,10202
338,January,182,542520,4,0,0,4,2162545,0,4,2162545,0,215,9991,10206
339,January,182,542520,4,0,0,4,2162545,0,4,2162545,0,215,9995,10210
340,January,182,542520,1,0,0,1,2162545,0,1,2162545,0,215,9996,10211
341,January,182,542520,4,0,0,4,2162545,0,4,2162545,0,215,10000,10215
342,January,182,542520,4,0,0,4,2162545,0,4,2162545,0,215,10004,10219
343,January,182,542520,3,0,0,3,2162545,0,3,2162545,0,215,10007,10222
344,January,182,542520,1,0,0,1,2162545,0,1,2162545,0,215,10008,10223
345,January,182,542520,4,0,0,4,2162545,0,4,2162545,0,215,10012,10227
346,January,182,542520,1,5,1,0,2155010,0,0,2155010,0,214,10013,10227
347,January,182,542520,2,4,2,0,2139940,0,0,2139940,0,212,10015,10227
348,January,182,542520,3,0,0,3,2139940,0,3,2139940,0,212,10018,10230
349,January,182,542520,4,0,0,4,2139940,0,4,2139940,0,212,10022,10234
350,January,182,542520,4,0,0,4,2139940,0,4,2139940,0,212,10026,10238
351,January,182,542520,2,0,0,2,2139940,0,2,2139940,0,212,10028,10240
